BenchmarkJoin/Join_0_0x0_tables-4         	11615760	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x0_tables-4         	13602070	        84.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_0x0_tables-4         	14559055	        83.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_0x0_tables-4         	13964222	        86.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_0x0_tables-4         	13485145	        88.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_0x0_tables-4         	12616753	        90.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_0x0_tables-4         	13255930	        91.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_0x0_tables-4         	12851044	        93.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_0x0_tables-4         	12443340	        96.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_1x0_tables-4         	13648090	        89.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x0_tables-4         	14440818	        85.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_1x0_tables-4         	13113909	        85.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_1x0_tables-4         	13756550	        91.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_1x0_tables-4         	12204213	        90.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_1x0_tables-4         	10773849	        96.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_1x0_tables-4         	12654752	        97.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_1x0_tables-4         	12698002	        96.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_1x0_tables-4         	11977051	        97.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_2x0_tables-4         	13691295	        87.1 ns/op	      80 B/op	       1 allocs/op
